"index","ALIGN_SPLIT","OPTIMIZE_SPLIT","OPTIMIZE_REPS","CUDA_THREADS","N_RESTART","CLIPPING","SIM_THRESH","BUFFER_SIZE"
388,32,48,1,256,256,50,1,2097152
389,8,48,1,160,256,50,1,2097152
390,8,8,5,160,1024,50,1,10485760
391,32,32,1,192,256,50,1,2097152
392,8,72,1,160,1024,10,1,20971520
393,72,8,1,96,256,50,4,52428800
394,8,72,1,192,256,10,4,52428800
395,8,32,1,96,256,50,1,5242880
396,8,48,1,64,256,50,1,5242880
397,8,48,1,160,256,256,1,2097152
398,32,72,1,160,256,50,1,2097152
399,48,8,1,224,256,50,4,5242880
400,8,72,1,192,256,50,1,10485760
401,32,32,1,256,256,256,4,10485760
402,8,8,1,224,256,50,4,1048576
403,32,32,1,256,256,256,1,2097152
404,8,72,1,160,256,50,1,2097152
405,8,8,1,32,256,256,4,10485760
406,32,8,1,64,256,256,4,10485760
407,8,8,1,192,256,50,4,52428800
408,32,8,1,224,256,256,4,52428800
409,8,32,1,160,256,50,4,1048576
410,48,8,1,32,256,256,1,20971520
411,32,72,1,224,256,50,4,1048576
412,8,32,1,32,256,30,1,20971520
413,8,8,1,96,256,50,4,1048576
414,8,72,1,128,256,256,1,5242880
415,32,32,1,64,256,256,4,20971520
416,32,8,1,256,256,50,1,10485760
417,48,72,1,192,256,50,1,20971520
418,32,8,1,96,256,50,1,5242880
419,8,72,5,224,256,256,1,52428800
420,8,32,1,160,256,256,4,52428800
421,24,32,1,256,256,256,4,52428800
422,24,32,1,192,256,256,4,52428800
423,8,8,1,160,1024,50,4,1048576
424,8,8,1,160,1024,10,1,1048576
425,72,72,1,160,256,256,4,10485760
426,72,72,1,128,256,50,1,2097152
427,8,8,1,224,1024,50,4,1048576
428,8,72,1,224,256,256,4,1048576
429,8,72,1,256,256,10,1,10485760
430,8,72,1,96,256,50,4,1048576
431,8,48,1,224,256,10,1,20971520
432,72,48,1,160,256,50,1,10485760
433,8,32,1,64,256,50,1,10485760
434,72,32,1,224,256,50,1,2097152
435,24,8,1,160,256,256,4,20971520
436,8,32,1,96,256,50,1,20971520
437,8,20,1,224,256,256,4,52428800
438,8,72,1,192,256,50,4,1048576
