"index","confidence","hypo_step","max_arm_length","num_threads"
1039,14,3,1,15
1040,14,3,1,16
1041,14,3,1,17
1042,14,3,1,18
1043,14,3,1,19
1044,14,3,1,20
1045,14,3,1,21
1046,14,3,1,22
1047,14,3,1,23
1048,14,3,1,24
1049,14,3,1,25
1050,14,3,1,26
1051,14,3,1,27
1052,14,3,1,28
1053,14,3,1,29
1054,14,3,1,30
1055,14,3,1,31
1056,14,3,1,32
1057,14,3,2,1
1058,14,3,2,2
1059,14,3,2,3
1060,14,3,2,4
1061,14,3,2,5
1062,14,3,2,6
1063,14,3,2,7
1064,14,3,2,8
1065,14,3,2,9
1066,14,3,2,10
1067,14,3,2,11
1068,14,3,2,12
1069,14,3,2,13
1070,14,3,2,14
1071,14,3,2,15
1072,14,3,2,16
1073,14,3,2,17
1074,14,3,2,18
1075,14,3,2,19
1076,14,3,2,20
1077,14,3,2,21
1078,14,3,2,22
1079,14,3,2,23
1080,14,3,2,24
1081,14,3,2,25
1082,14,3,2,26
1083,14,3,2,27
1084,14,3,2,28
1085,14,3,2,29
1086,14,3,2,30
1087,14,3,2,31
1088,14,3,2,32
1089,14,3,3,1
1090,14,3,3,2
1091,14,3,3,3
1092,14,3,3,4
1093,14,3,3,5
1094,14,3,3,6
1095,14,3,3,7
1096,14,3,3,8
1097,14,3,3,9
1098,14,3,3,10
1099,14,3,3,11
1100,14,3,3,12
1101,14,3,3,13
1102,14,3,3,14
1103,14,3,3,15
1104,14,3,3,16
1105,14,3,3,17
1106,14,3,3,18
1107,14,3,3,19
1108,14,3,3,20
1109,14,3,3,21
1110,14,3,3,22
1111,14,3,3,23
1112,14,3,3,24
1113,14,3,3,25
1114,14,3,3,26
1115,14,3,3,27
1116,14,3,3,28
1117,14,3,3,29
1118,14,3,3,30
1119,14,3,3,31
1120,14,3,3,32
1121,14,3,4,1
1122,14,3,4,2
1123,14,3,4,3
1124,14,3,4,4
1125,14,3,4,5
1126,14,3,4,6
1127,14,3,4,7
1128,14,3,4,8
1129,14,3,4,9
1130,14,3,4,10
1131,14,3,4,11
1132,14,3,4,12
1133,14,3,4,13
1134,14,3,4,14
1135,14,3,4,15
1136,14,3,4,16
1137,14,3,4,17
1138,14,3,4,18
1139,14,3,4,19
1140,14,3,4,20
1141,14,3,4,21
1142,14,3,4,22
1143,14,3,4,23
1144,14,3,4,24
1145,14,3,4,25
1146,14,3,4,26
1147,14,3,4,27
1148,14,3,4,28
1149,14,3,4,29
1150,14,3,4,30
1151,14,3,4,31
1152,14,3,4,32
1153,14,3,5,1
1154,14,3,5,2
1155,14,3,5,3
1156,14,3,5,4
1157,14,3,5,5
1158,14,3,5,6
1159,14,3,5,7
1160,14,3,5,8
1161,14,3,5,9
1162,14,3,5,10
1163,14,3,5,11
1164,14,3,5,12
1165,14,3,5,13
1166,14,3,5,14
1167,14,3,5,15
1168,14,3,5,16
1169,14,3,5,17
1170,14,3,5,18
1171,14,3,5,19
1172,14,3,5,20
1173,14,3,5,21
1174,14,3,5,22
1175,14,3,5,23
1176,14,3,5,24
1177,14,3,5,25
1178,14,3,5,26
1179,14,3,5,27
1180,14,3,5,28
1181,14,3,5,29
1182,14,3,5,30
1183,14,3,5,31
1184,14,3,5,32
1185,14,3,6,1
1186,14,3,6,2
1187,14,3,6,3
1188,14,3,6,4
1189,14,3,6,5
1190,14,3,6,6
1191,14,3,6,7
1192,14,3,6,8
1193,14,3,6,9
1194,14,3,6,10
1195,14,3,6,11
1196,14,3,6,12
1197,14,3,6,13
1198,14,3,6,14
1199,14,3,6,15
1200,14,3,6,16
1201,14,3,6,17
1202,14,3,6,18
1203,14,3,6,19
1204,14,3,6,20
1205,14,3,6,21
1206,14,3,6,22
1207,14,3,6,23
1208,14,3,6,24
1209,14,3,6,25
1210,14,3,6,26
1211,14,3,6,27
1212,14,3,6,28
1213,14,3,6,29
1214,14,3,6,30
1215,14,3,6,31
1216,14,3,6,32
1217,14,3,7,1
1218,14,3,7,2
1219,14,3,7,3
1220,14,3,7,4
1221,14,3,7,5
1222,14,3,7,6
